ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,Is high risk
5008804,Male,Yes,Yes,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,Yes,Yes,No,No,,2.0,-15.0,0
5008805,Male,Yes,Yes,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,Yes,Yes,No,No,,2.0,-14.0,0
5008806,Male,Yes,Yes,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,Yes,No,No,No,Security staff,2.0,-29.0,0
5008808,Female,No,Yes,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Yes,No,Yes,Yes,Sales staff,1.0,-4.0,0
5008809,Female,No,Yes,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Yes,No,Yes,Yes,Sales staff,1.0,-26.0,0
5008810,Female,No,Yes,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Yes,No,Yes,Yes,Sales staff,1.0,-26.0,0
5008811,Female,No,Yes,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Yes,No,Yes,Yes,Sales staff,1.0,-38.0,0
5008812,Female,No,Yes,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,Yes,No,No,No,,1.0,-20.0,0
5008813,Female,No,Yes,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,Yes,No,No,No,,1.0,-16.0,0
5008814,Female,No,Yes,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,Yes,No,No,No,,1.0,-17.0,0
5008815,Male,Yes,Yes,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,Yes,Yes,Yes,Yes,Accountants,2.0,-5.0,0
5112956,Male,Yes,Yes,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,Yes,Yes,Yes,Yes,Accountants,2.0,-42.0,0
5008819,Male,Yes,Yes,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Yes,No,No,No,Laborers,2.0,-17.0,0
5008820,Male,Yes,Yes,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Yes,No,No,No,Laborers,2.0,-16.0,0
5008821,Male,Yes,Yes,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Yes,No,No,No,Laborers,2.0,-8.0,0
